permanent|영구적인
sort|종류
anchor|닻
jealous|질투하는
confidence|자신감
factory|공장
mature|성숙한
propose|제안하다
pursue|추구하다
calm|차분한
distinguish|구별하다
encourage|격려하다
responsible|책임감 있는
announce|발표하다
rely|의지하다
firm|확고한, 회사
sheet|시트, 종이 한 장
brilliant|훌륭한, 눈부신
chapter|장
exclude|제외하다
survey|설문조사
concentrate|집중하다
debt|빚
gently|부드럽게
engineer|엔지니어
button|버튼
wizard|마법사
announcer|아나운서
adventure|모험
carefully|주의 깊게
sensitive|민감한
translation|번역
campaign|캠페인
globe|지구
traditional|전통적인
oppose|반대하다
discussion|토론
pollution|오염
secure|안전한, 확보하다
inquiry|조사, 문의
signature|서명
etiquette|예의
exclusive|독점적인
prohibit|금지하다
catalogue|카탈로그
stress|스트레스, 강조하다
champion|챔피언
disappoint|실망시키다
jewelry|보석
absolutely|절대적으로
seaweed|해초
grace|우아함
extracurricular|과외의
intense|강렬한
probability|확률
kneel|무릎을 꿇다
missionary|선교사
creep|기어가다
oppression|억압
dove|비둘기
manager|매니저
undergo|겪다
despair|절망
erase|지우다
massive|거대한
respectful|존경하는
extraordinary|비범한
pave|길을 포장하다
depth|깊이
ethnic|민족의
marriage|결혼
treatment|치료, 대우
resident|거주자
thrilling|스릴 있는
concerned|걱정하는
instruct|지시하다
loosen|느슨하게 하다
tension|긴장
throughout|도처에, 내내
consequence|결과
absence|결석, 부재
foresee|예견하다
excitement|흥분
container|용기, 그릇
imply|암시하다
portion|부분
punctual|시간을 엄수하는
detect|발견하다
technical|기술적인
anxiety|불안
threaten|위협하다
barely|거의 ~않다
omit|생력하다
addicted|중독된
antique|골동품
secondhand|중고의
competitive|경쟁적인
robber|강도
exhausted|기진맥진한
architecture|건축
royalty|왕족
lighten|가볍게 하다
homeless|노숙자의
go through|겪다
crowd|군중
seminar|세미나
lung|폐
relative|친척, 상대적인
harmful|해로운
excite|흥분시키다
reality|현실
pitcher|투수, 물주전자
classical|고전적인
energetic|활동적인
cotton|면
activity|활동
focus|초점, 집중하다
definitely|분명히
academy|학원, 학술원
space|우주, 공간
politic|정치적인
independence|독립
immediately|즉시
reasonable|합리적인
meadow|목초지
snack|간식
fiction|소설
transportation|교통수단
underneath|~의 아래에
fantastic|환상적인
technique|기술
starve|굶주리다
prior|이전의
cradle|요람
iceberg|빙산
business|사업
adult|어른
mere|단지 ~에 불과한
personal|개인의
addition|추가
appearance|외모, 출현
against|~에 반대하여
pacific|태평양의, 평화로운
resume|이력서, 재개하다
permission|허락
organization|조직
academic|학술적인
marble|대리석, 구슬
injury|부상
idiom|관용구
unfortunately|불행하게도
parade|퍼레이드
humanity|인류
optimistic|낙관적인
garlic|마늘
selfish|이기적인
moisture|수분
wagon|마차
glitter|반짝이다
interview|면접
fright|공포
seatbelt|안전벨트
microscope|현미경
patent|특허
distinct|뚜렷한
exit|출구
convert|변환하다
oyster|굴
illusion|환상
scary|무서운
expedition|탐험
sauce|소스
magic|마술
pressure|압력
curious|호기심이 많은
subtle|미묘한
apologize|사과하다
solution|해결책
luckily|운 좋게도
wreck|난파선, 망가뜨리다
shark|상어
hold on to|~을 꽉 잡다
go over|검토하다
throne|왕좌
sting|찌르다
genetic|유전의
relief|안도
temper|성질
loop|고리
appliance|가전제품
trait|특성
moderate|적당한
plural|복수의
imagination|상상력
sparkle|반짝이다
vowel|모음
ethic|윤리
tame|길들이다
argument|주장, 논쟁
enroll|등록하다
rid|없애다
vertical|수직의
communication|의사소통
comet|혜성
conclusion|결론
impressive|인상적인
resign|사임하다
interior|내부
spacecraft|우주선
recite|암송하다
development|발달
intelligence|지능
economic|경제의
revenge|복수
literal|문자 그대로의
valid|유효한
assignment|과제
tempt|유혹하다
modify|수정하다
miner|광부
breast|가슴
federal|연방의
basement|지하실
